resource_identifier,resource_name
LUT2,LUT2
LUT4,LUT4
LUT6,LUT6
CCU2C,CCU2C
CARRY8,CARRY8
DSP48E2,DSP
L6MUX21,L6MUX21
PFUMX,PFUMX
MULT18X18D,MULT18
num_LUT4,LUT4
num_CCU2C,CCU2C
num_PFUMX,PFUMX
num_ALU54B,ALU54B
num_MULT18X18D,MULT18
num_L6MUX21,L6MUX21
num_MULT9X9D,MULT9
clb_luts,LUT
clb_regs,REG
carry8s,CARRY8
f7muxes,F7MUX
f8muxes,F8MUX
f9muxes,F9Mux
frac_lut4,LUT4
